QRCode;Linha;OP;Produto;Descrição;Sintoma;Origem;Qtd.;Usuário_Solicitante;Dt.Solicitação;Usuário_Aprov/Reprov;Dt.Aprov/Reprov;Status
9600;PSALINHA13;2285;2002090100I1003;GABINETEFRONTALD195GETNETLENSWP;VISORCOMRISCO;Fornecedor;15;brenda.santos;03/11/202208:16:53;debora.gomes;04/11/202208:31:20;Aprovado
9601;PSALINHA13;2285;501400000000028;LCD240x3202.4inch8BitTFTD190LCMVTT024QVB21Code28BRILLIANT;TELABRANCA;FasePSA;4;brenda.santos;03/11/202208:19:17;debora.gomes;04/11/202208:31:22;Aprovado
9602;PSALINHA13;2285;501500000000026;IS057E3.7V1900MAHLITHIUMIONPOLYMERBATTERYAVIATIONPACKAGING60;COMPONENTESMDDANIFICADO;FasePSA;1;brenda.santos;03/11/202208:22:05;debora.gomes;04/11/202208:31:25;Aprovado
9611;PSALINHA13;2285;200212000000309;D195G510/H330S850/900/1800/1900/2100MHZV02GPRS/WCDMAANTENNAFPC;COMPONENTESMDDANIFICADO;FasePSA;5;brenda.santos;03/11/202208:46:03;debora.gomes;04/11/202208:31:28;Aprovado
9612;PSALINHA13;2285;501400000000028;LCD240x3202.4inch8BitTFTD190LCMVTT024QVB21Code28BRILLIANT;LCDCOMRISCO;Fornecedor;1;brenda.santos;03/11/202208:47:42;debora.gomes;04/11/202208:31:36;Aprovado
9613;PSALINHA13;2285;2002090100I1003;GABINETEFRONTALD195GETNETLENSWP;COMPONENTESMDDESLOCADO;Callidus;2;brenda.santos;03/11/202208:50:30;debora.gomes;04/11/202208:31:39;Aprovado
9614;PSALINHA13;2285;501400000000028;LCD240x3202.4inch8BitTFTD190LCMVTT024QVB21Code28BRILLIANT;COMPONENTESMDALTERADO;Callidus;4;brenda.santos;03/11/202208:51:22;debora.gomes;04/11/202208:31:42;Aprovado
9615;PSALINHA13;2285;502200000000007;D190MAGV01/V03MAGNETICREADER1/2/3TRACKS;COMPONENTESMDALTERADO;PaxChina;3;brenda.santos;03/11/202208:51:51;debora.gomes;04/11/202208:31:47;Aprovado
9616;PSALINHA09;2293;501400000000038;320X2403.5INCHS920TFTLCD;ERROLEITURACARTďż˝OMAG.(MSR);Fornecedor;1;jacqueline.taveira;03/11/202209:41:22;debora.gomes;04/11/202208:29:11;Aprovado
9617;PSALINHA09;2293;301501020000025;Speaker.HDK.181308ZA.2C.Leftcable.0.8W.;SEMďż˝UDIO;FasePSA;1;jacqueline.taveira;03/11/202209:42:29;debora.gomes;04/11/202208:29:13;Aprovado
9618;PSALINHA09;2293;2002090100I0853;GABINETEFRONTALDEPLASTICOPRETOS920COMATELASENSIVELAOTOQUE;TOUCHSCREENNďż˝OATUA(TP);Fornecedor;1;jacqueline.taveira;03/11/202209:59:05;debora.gomes;04/11/202208:29:14;Aprovado
9619;PSALINHA11;2261;2003170099N0299;ETIQUETAADESIVATRANSIREANATEL044762109939MPOSD188;COMPONENTEPSADANIFICADO;FasePSA;4;kathllen.braga;03/11/202210:27:04;debora.gomes;04/11/202208:29:51;Aprovado
9620;PSALINHA11;2261;200202000000587;LCD240x3202.4inchD188TFTLCDYH024BSJ660N175A01E0BOEST7789V3;COMPONENTESMDALTERADO;Fornecedor;21;kathllen.braga;03/11/202210:28:32;debora.gomes;04/11/202208:29:52;Aprovado
9621;PSALINHA11;2261;200209120000476;PlasticD188CLightgoldICCardholderMaterialPCABSfinegraincom;COMPONENTEFORADOPADRďż˝O;Fornecedor;2;kathllen.braga;03/11/202210:33:01;debora.gomes;04/11/202208:29:54;Aprovado
9622;PSALINHA11;2261;200209120000475;PlasticD188ClightgoldAntennasupportMaterialPCABSfinegrainco;COMPONENTEFORADOPADRďż˝O;Fornecedor;1;kathllen.braga;03/11/202210:33:38;debora.gomes;04/11/202208:29:59;Aprovado
9623;PSALINHA11;2261;200205990000561;metalEjectionPin;COMPONENTEFORADOPADRďż˝O;Fornecedor;1;kathllen.braga;03/11/202210:34:53;debora.gomes;04/11/202208:30:03;Aprovado
9624;PSALINHA11;2261;200206010000215;Battery3742493.7V900mAhLithiumionbatterywithbackglueAviation;COMPONENTESMDALTERADO;Fornecedor9;NaN;kathllen.braga;03/11/202210:36:37;debora.gomes;04/11/202208:30:06;Aprovado
9625;PSALINHA11;2261;200209050000532;D188CblackswitchbuttonPR;COMPONENTEFORADOPADRďż˝O;Fornecedor;5;kathllen.braga;03/11/202210:41:32;debora.gomes;04/11/202208:30:09;Aprovado
9626;PSALINHA11;2261;300100160000148;D188KEYMESHV04PCBwithmeshRouting;COMPONENTEPSADANIFICADO;FasePSA;3;kathllen.braga;03/11/202210:42:25;debora.gomes;04/11/202208:30:11;Aprovado
9627;PSALINHA11;2261;200209050000593;D188CblackdigitalkeysCBrazilSTONETONcustom;COMPONENTEFORADOPADRďż˝O;Fornecedor;7;kathllen.braga;03/11/202210:44:08;debora.gomes;04/11/202208:30:15;Aprovado
9628;PSALINHA11;2261;200209030000576;D188CBLACKLCDLENSBRAZILSTONETONPMMAPC;VISORCOMIMPUREZA;Fornecedor;65;kathllen.braga;03/11/202210:47:22;debora.gomes;04/11/202208:30:19;Aprovado
9631;PSALINHA11;2261;2002090199N0003;GABINETEFRONTALDEPLASTICOD188STONETONPANTONE802C;GABFRONTMINIBASEESPANADO;FasePSA;2;kathllen.braga;03/11/202210:50:46;debora.gomes;04/11/202208:30:22;Aprovado
9632;PSALINHA11;2261;2002090199N0003;GABINETEFRONTALDEPLASTICOD188STONETONPANTONE802C;COMPONENTEFORADOPADRďż˝O;Fornecedor;4;kathllen.braga;03/11/202210:51:14;debora.gomes;04/11/202208:30:25;Aprovado
9633;PSALINHA11;2261;200209030000576;D188CBLACKLCDLENSBRAZILSTONETONPMMAPC;VISORCOMIMPUREZA;Fornecedor;2;kathllen.braga;03/11/202210:51:43;debora.gomes;04/11/202208:30:30;Aprovado
9634;PSALINHA11;2261;200499000000605;POROND199batteryporonPORON16X7X0.8mm;COMPONENTEPSADANIFICADO;FasePSA;1;kathllen.braga;03/11/202210:52:50;debora.gomes;04/11/202208:30:34;Aprovado
9639;PSALINHA11;2261;2003180099N0756;ETIQUETAVOID8,00mmBRANCATECTOYREV00;COMPONENTEPSADANIFICADO;FasePA;24;kathllen.braga;03/11/202211:12:10;debora.gomes;04/11/202208:30:39;Aprovado
9641;PSALINHA11;2261;200212000000401;AntennaD188CG50085090018001900MHzV01AntFPCYJ;ANTENAADESIVADANIFICADA;FasePSA;2;kathllen.braga;03/11/202211:12:48;debora.gomes;04/11/202208:30:46;Aprovado
9644;PSALINHA11;2261;200499000000605;POROND199batteryporonPORON16X7X0.8mm;COMPONENTEPSADANIFICADO;FasePSA;1;kathllen.braga;03/11/202211:13:20;debora.gomes;04/11/202208:30:52;Aprovado
