QRCode,Linha,OP,Produto,Sintoma,Origem,Qtd.,Usuário_Solicitante,Data.Solicitação,Hora.Solicitação,Usuário_Aprov/Reprov,Data.Aprovação,Hora.Aprovação,Status
48,9504,Front.Door,2279,502200000000007,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,1.0,Adão.Negro,01/11/2022,10:05:25,Kerri.Green,01/11/2022,14:36:37,Aprovado
49,9505,Front.Door,2279,200209130000091,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,1.0,Adão.Negro,01/11/2022,10:06:01,Kerri.Green,01/11/2022,14:36:40,Aprovado
50,9506,"Roys,Castle",2293,200209080000047,SCRAP,Fornecedor,22.0,Arlequina.Coringa,01/11/2022,10:06:35,Kerri.Green,01/11/2022,11:42:23,Aprovado
51,9507,"Roys,Castle",2293,200499000000046,SCRAP,Fornecedor,14.0,Arlequina.Coringa,01/11/2022,10:07:47,Kerri.Green,01/11/2022,11:42:26,Aprovado
52,9508,Front.Door,2279,20030500AHN0114,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,3.0,Adão.Negro,01/11/2022,10:08:59,Kerri.Green,01/11/2022,14:36:43,Aprovado
53,9510,Star.World,2295,20030500AHN0098,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,2.0,Rick.Sanchez,01/11/2022,10:10:28,Luke.Skywalker,04/11/2022,09:52:14,Aprovado
54,9513,"Roys,Castle",2293,301601010000087,SCRAP,Fornecedor,1.0,Arlequina.Coringa,01/11/2022,10:11:06,Kerri.Green,01/11/2022,11:42:28,Aprovado
55,9522,Sunken.GhostShip,2293,20050300AHN0004,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,1.0,Pink.Cerebro,01/11/2022,10:30:34,Kerri.Green,01/11/2022,11:42:34,Aprovado
56,9523,Sunken.GhostShip,2293,2002090100I0853,TOUCHSCREEN_NÃO_ATUA(TP),Fornecedor,4.0,Pink.Cerebro,01/11/2022,10:31:24,Kerri.Green,01/11/2022,11:42:36,Aprovado
57,9524,Sunken.GhostShip,2293,501400000000038,IMAGEM_ANORMAL,Fornecedor,22.0,Pink.Cerebro,01/11/2022,10:33:35,Kerri.Green,01/11/2022,11:42:37,Aprovado
58,9525,Sunken.GhostShip,2293,20010117CAD0004,RF_NÃO_ATUA(PICCOPEN),Fornecedor,3.0,Pink.Cerebro,01/11/2022,10:35:16,Kerri.Green,01/11/2022,11:42:39,Aprovado
59,9526,Sunken.GhostShip,2293,502200000000004,ERRO_LEITURA_CARTÃO_MAG.(MSR),Fornecedor,6.0,Pink.Cerebro,01/11/2022,10:37:36,Kerri.Green,01/11/2022,11:42:41,Aprovado
60,9527,Sunken.GhostShip,2293,300100030000139,TECLAS_NÃO_ATUAM,Fornecedor,1.0,Pink.Cerebro,01/11/2022,10:38:19,Kerri.Green,01/11/2022,11:42:44,Aprovado
61,9529,Sunken.GhostShip,2293,300100030000139,TECLAS_NÃO_ATUAM,Fornecedor,2.0,Pink.Cerebro,01/11/2022,10:39:02,Kerri.Green,01/11/2022,11:42:48,Aprovado
62,9530,Sunken.GhostShip,2293,2002090100I0853,TOUCHSCREEN_NÃO_ATUA(TP),Fornecedor,7.0,Pink.Cerebro,01/11/2022,10:40:08,Kerri.Green,01/11/2022,11:42:51,Aprovado
63,9531,Sunken.GhostShip,2293,200209080000046,COMPONENTE_FORA_DO_PADRÃO,Fornecedor,32.0,Pink.Cerebro,01/11/2022,10:43:16,Kerri.Green,01/11/2022,11:42:55,Aprovado
64,9532,Tubular,2293,2002090100I0853,TOUCHSCREEN_NÃO_ATUA(TP),Fornecedor,3.0,Son.Goku,01/11/2022,11:05:58,Kerri.Green,01/11/2022,14:35:34,Aprovado
65,9533,Tubular,2293,501400000000038,IMAGEM_ANORMAL,Fornecedor,4.0,Son.Goku,01/11/2022,11:06:57,Kerri.Green,01/11/2022,14:35:37,Aprovado
66,9534,Tubular,2293,200212000000237,COMPONENTE_PSA_DANIFICADO,Estrela.DaMorte,1.0,Son.Goku,01/11/2022,11:07:33,Kerri.Green,01/11/2022,14:35:39,Aprovado
67,9535,Tubular,2293,300100030000139,PEDTAMPER,Fornecedor,2.0,Son.Goku,01/11/2022,11:08:24,Kerri.Green,01/11/2022,14:35:41,Aprovado
68,9536,Tubular,2293,2003100100N0033,FONTES/IDENTIFICA_OTENSÃO,Fornecedor,11.0,Son.Goku,01/11/2022,11:10:20,Kerri.Green,01/11/2022,14:35:47,Aprovado
